Law,Description,Fine Level,Fine Amount,Demerit Points
Rule 27 (1),Not turn left from far left side of road,4,272,2
Rule 28 (1),Not turn left from multi-lane road from within left lane,4,272,2
Rule 28 (1A),Not turn left from slip lane from multi-lane road,4,272,2
Rule 29,Turn left contrary to turn line,4,272,2
Rule 31 (1)&(2),Not turn right from left of line/strip correctly,4,272,2
Rule 31 (1)&(3),Not turn right from left of centre of road correctly,4,272,2
Rule 31 (1)&(4),Not turn right from far right side of one-way road,4,272,2
Rule 32 (1),Not turn right from far multi-lane road from within right lane,4,272,2
Rule 33 (1)&(2),Turn right contrary to road marking,4,272,2
Rule 33 (1)&(3),Not turn right near to right of centre of intersection,4,272,2
Rule 37 (a),Begin U-turn without view of approaching traffic*,4,272,2
Rule 37 (b),Driver not safely begin U-turn without obstructing traffic*,4,272,2
Rule 38,Make U-turn without giving way to vehicle/pedestrian*,5,349,3
Rule 39 (1),Make U-turn at break in dividing strip contrary to sign*,4,272,2
Rule 39 (2),Make U-turn on length of road contrary to sign*,4,272,2
Rule 40,Make U-turn at intersection with traffic lights*,4,272,2
Rule 41,Make U-turn at intersection (no lights) contrary to sign*,4,272,2
Rule 42 (a),Not start U-turn in lane in nearest dividing line/median strip*,4,272,2
Rule 42 (b),Not start U-turn from left of centre of road*,4,272,2
Rule 46 (1),Not give left change of direction signal with lights,3,194,2
Rule 46 (1)&(2),Not give sufficient left change of direction signal,3,194,2
Rule 46 (1)&(3),Give left change of direction signal (less than 5 seconds),3,194,2
Rule 46 (4),"Not stop left change of direction signal after change
3
$194
Rule 48 (1)
Not give right change of direction signal with lights",3,194,2
Rule 48 (1)&(2),Not give sufficient right change of direction signal,3,194,2
Rule 48 (1)&(3),Give right change of direction signal (less than 5 seconds),3,194,2
Rule 48 (4),"Not stop right change of direction signal after change
3
$194
Rule 51
Operate indicator light contrary to permitted use
3
$194
Rule 53 (1) 
Not give stop signal with brake lights/signal/device",3,194,2
Rule 53 (2),Not give sufficient warning of stopping,3,194,2
Rule 53 (3),Not give stop signal when slowing suddenly,3,194,2
Rule 56 (1)(a),Not stop at stop line at red light*,6,464,3
Rule 56 (1)(a),"Not stop at stop line at red light - toll booth
3
$194
Rule 56 (1)(b)
Not stop before stop sign at red light*",6,464,3
Rule 56 (1)(b),"Not stop before stop sign at red light - toll booth
3
$194
Rule 56 (1)(c)
Not stop before lights at red light*",6,464,3
Rule 56 (1)(c),"Not stop before lights at red light - toll booth
3
$194
Rule 56 (2)(a)
Not stop at stop line at red arrow*",6,464,3
Rule 56 (2)(b),Not stop before stop sign at red arrow*,6,464,3
Rule 56 (2)(c),Not stop before lights at red arrow*,6,464,3
Rule 57 (1)(a),Not stop at stop line at yellow light*,6,464,3
Rule 57 (1)(b),Not stop before traffic lights at yellow light*,6,464,3
Rule 57 (1)(c) ,Not stop before intersection at yellow light*,6,464,3
Rule 57 (2)(a),Not stop at stop line at yellow arrow*,6,464,3
Rule 57 (2)(b),Not stop before traffic lights at yellow arrow*,6,464,3
Rule 57 (2)(c),Not stop before intersection at yellow arrow*,6,464,3
Rule 57 (3),Not leave intersection safely after yellow arrow*,6,464,3
Rule 59 (1),Proceed through red traffic light*,6,464,3
Rule 59 (1),Proceed through red traffic light (camera detected)*,6,464,3
Rule 59 (1),"Proceed through red traffic light - toll booth
3
$194
Rule 60
Proceed through red traffic arrow*",6,464,3
Rule 60A (1),Motor vehicle enter bicycle storage area showing red light*,6,464,3
Rule 60A (2),Motor vehicle enter bicycle storage area showing red arrow*,6,464,3
Rule 61 (2),Proceed after light change while stopped*,6,464,3
Rule 61 (5),Not leave intersection after light/arrow goes yellow/red*,6,464,3
Rule 62 (1)(a),Not give way at lights to pedestrian on road*,5,349,3
Rule 62 (1)(b)(i),Not give way at lights to other vehicle (left turn)*,5,349,3
Rule 62 (1)(b)(ii),Not give way at lights to other pedestrian (left turn)*,5,349,3
Rule 62 (1)(c),Not give way at lights to oncoming vehicle (right  turn)*,5,349,3
Rule 63 (2),Not stop at traffic lights - stop sign*,5,349,3
Rule 63 (2),Not give way to vehicle at traffic light - stop sign*,5,349,3
Rule 63 (2),Not give way to pedestrian at traffic light - stop sign*,5,349,3
Rule 63 (3),Not give way to vehicle (left turn from slip lane)*,5,349,3
Rule 63 (3),Not give way to pedestrian (left turn from slip lane)*,5,349,3
Rule 63 (3),Not give way to vehicle (right turn)*,5,349,3
Rule 63 (3),Not give way to oncoming vehicle (right turn)*,5,349,3
Rule 63 (3),Not give way to pedestrian (right turn)*,5,349,3
Rule 63 (3),Not give way at intersection to vehicle on right*,5,349,3
Rule 63 (3) ,Not give way to vehicle - left turn*,5,349,3
Rule 63 (3),Not give way to vehicle at T-Intersection*,5,349,3
Rule 63 (3),Not give way to pedestrian at T-Intersection*,5,349,3
Rule 63 (3),Not give way to vehicle at T-Intersection (slip lane)*,5,349,3
Rule 63 (3),Not give way to pedestrian at T-Intersection (slip lane)*,5,349,3
Rule 63 (3),Not give way to vehicle (right turn at terminating road),5,349,3
Rule 63 (3),Not give way to pedestrian (right turn at terminating road),5,349,3
Rule 63 (3),Not give way to pedestrian at T-Intersection (left turn)*,5,349,3
Rule 63 (3),Not give way to vehicle - slip lane at terminating road*,5,349,3
Rule 63 (3),Not give way to pedestrian - slip lane at terminating road*,5,349,3
Rule 64 (a),Not give way to vehicle (flashing yellow arrow)*,5,349,3
Rule 64 (b),Not give way to pedestrian (flashing yellow arrow)*,6,464,3
Rule 64 (c),Not give way to oncoming vehicle (flashing yellow arrow)*,5,349,3
Rule 65 (2)(a),Not give way to pedestrian - (flashing yellow light)*,5,349,3
Rule 65 (2)(b),Obstruct pedestrian - (flashing yellow light)*,5,349,3
Rule 65 (2)(c),Overtake/pass vehicle - (flashing yellow light)*,6,464,3
Rule 66 (1),Not stop before lights (twin red lights),6,464,3
Rule 66 (1),Not stop before stop line (twin red lights),6,464,3
Rule 66 (4),Proceed after stopping at twin red lights,6,464,3
Rule 67 (1),Not stop at stop line - intersection with no lights*,5,349,3
Rule 67 (1),Not give way to vehicle - intersection with no lights*,5,349,3
Rule 67 (1),Not give way to pedestrian - intersection with no lights*,5,349,3
Rule 68 (1),Not stop at/before stop line/stop sign*,5,349,3
Rule 68 (1),Not give way to vehicle/pedestrian (stop sign)*,5,349,3
Rule 69 (1),Not give way to vehicle (give way sign/line)*,5,349,3
Rule 69 (1),Not give way at pedestrian (give way sign/line)*,5,349,3
Rule 70,Disobey give way sign on bridge/narrow road*,5,349,3
Rule 71 (1),Not give way to vehicle/pedestrian (give way sign/line)*,5,349,3
Rule 72 (1),Not give way to vehicle on right (travelling straight-unmarked intersection),5,349,3
